Countries and areas,"HIV incidence per 1,000 uninfected population All ages","HIV incidence per 1,000 uninfected population children <5","HIV incidence per 1,000 uninfected population adolescents 1519",People living with HIV All ages,People living with HIV children <15,People living with HIV adolescents 1019,New HIV infections All ages,New HIV infections children <5,New HIV infections adolescents 1519,AIDSrelated deaths All ages,AIDSrelated deaths children <15,AIDSrelated deaths adolescents 1019,"Pregnant women reciving ARVs for PMTCT (%)
2016*",People living with HIV receiving antiretroviral therapy (ART) (%) All ages,People living with HIV receiving antiretroviral therapy (ART) (%) children <15,People living with HIV receiving antiretroviral therapy (ART) (%) adolescents 1019,Condom use among adolescents with multiple partners (%) male,Condom use among adolescents with multiple partners (%) female,Adolescents tested for HIV in the last 12 months and received results (%) male,Adolescents tested for HIV in the last 12 months and received results (%) female,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Tunisia,0.03,0.01,0.06,"2,900",,,<500,,<100,<100,,,,29,,,,,,<0.1,103,106
Turkey,,,,,,,,,,,,,,,,,,,,,99,109
Turkmenistan,,,,,,,,,,,,,,,,,,,,5,,111
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,
Uganda,1.50,0.69,2.55,"1,400,000","130,000","120,000","52,000","4,600","10,000","28,000","5,800","3,800",>95,67,47,,52,26,28,39,103,108
Ukraine,0.38,0.17,0.57,"240,000","4,000","5,100","17,000",<500,"1,200","8,500",<200,<100,84,37,64,,90,,10,7,100,115
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,103,103
United Kingdom,,,,,,,,,,,,,,,,,,,,,,105
United Republic of Tanzania,1.19,1.28,1.04,"1,400,000","110,000","98,000","55,000","10,000","5,500","33,000","6,500","3,200",84,62,48,,45,38,13,21,115,106
United States,,,,,,,,,,,,,,,,,,,,,,106
Uruguay,,,,"12,000",<100,<500,"<1,000",<100,,<500,<100,<100,83,53,>95,,,67,,7,101,110
Uzbekistan,,,,,,,,,,,,,,,,,,,,,101,108
Vanuatu,,,,,,,,,,,,,,,,,,,,,,106
Venezuela (Bolivarian Republic of),0.21,0.10,0.44,"120,000","2,500","4,400","6,500",<500,"1,200","2,500",<200,<100,48,,,,,,,,100,112
Viet Nam,0.12,0.04,0.06,"250,000","5,800","3,200","11,000",<500,<500,"8,000",<200,<100,66,47,84,,,,,4,104,113
Yemen,0.04,0.02,0.08,"9,900",<500,"<1,000","1,100",<100,<500,<500,<100,<100,8,18,21,,,,,,93,105
Zambia,4.08,3.28,6.46,"1,200,000","94,000","95,000","59,000","8,900","11,000","21,000","5,700","2,300",83,65,52,,38,33,19,33,94,108
Zimbabwe,3.03,1.36,3.50,"1,300,000",,,"40,000",,"5,800","30,000",,,93,75,,,71,,19,30,104,106
