Countries and areas,Birth registration (%) poorest 20%,Birth registration (%) richest 20%,Birth registration (%) Ratio of richest to poorest,Skilled birth attendant (%) poorest 20%,Skilled birth attendant (%) richest 20%,Skilled birth attendant (%) Ratio of richest to poorest,Stunting prevalence in children under 5 (moderate & severe) poorest 20%,Stunting prevalence in children under 5 (moderate & severe) richest 20%,Stunting prevalence in children under 5 (moderate & severe) Ratio of poorest to richest,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) poorest 20%,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) richest 20%,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Ratio of richest to poorest,Primary school net attendance ratio poorest 20%,Primary school net attendance ratio richest 20%,Primary school net attendance ratio Ratio of richest to poorest,"Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 poorest 20%","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 richest 20%","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Ratio of richest to poorest","Comprehensive knowledge of HIV/AIDS (%)
Males 15-24 poorest 20%","Comprehensive knowledge of HIV/AIDS (%)
Males 15-24 richest 20%","Comprehensive knowledge of HIV/AIDS (%)
Males 15-24 Ratio of richest to poorest",Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Togo,67,97,1.5,11,87,8.1,33,11,3.2,28,25,0.9,80,97,1.2,18,42,2.3,20,55,2.7,96,103
Tokelau,,,,,,,,,,,,,,,,,,,,,,,
Tonga,92,96,1.1,93,97,1.0,7,10,0.7,,,,94,94,1.0,11,16,1.4,13,14,1.1,,109
Trinidad and Tobago,96,99,1.0,98,99,1.0,,,,,,,95,98,1.0,48,62,1.3,,,,,110
Tunisia,98,100,1.0,63,89,1.4,16,8,2.0,,,,96,99,1.0,10,29,2.8,,,,103,106
Turkey,98,99,1.0,91,100,1.1,18,4,4.3,,,,92,96,1.0,,,,,,,99,109
Turkmenistan,100,99,1.0,100,100,1.0,16,11,1.4,,,,98,98,1.0,17,32,1.9,,,,,111
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,39,71,1.8,95,90,1.0,8,13,0.6,,,,99,100,1.0,34,39,1.2,,67,,,
Uganda,27,44,1.6,43,88,2.0,32,17,1.9,48,53,1.1,79,92,1.2,20,47,2.3,28,47,1.6,103,108
Ukraine,100,99,1.0,99,100,1.0,,,,,,,100,100,1.0,41,53,1.3,40,54,1.3,100,115
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,103,103
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,105
United Republic of Tanzania,8,65,8.5,42,95,2.3,40,19,2.1,40,45,1.1,63,95,1.5,39,55,1.4,34,56,1.7,115,106
United States,,,,,,,,,,,,,,,,,,,,,,,106
Uruguay,,,,,,,,,,,,,97,98,1.0,,,,,,,101,110
Uzbekistan,100,100,1.0,99,100,1.0,21,15,1.4,27,19,0.7,,,,25,33,1.3,,,,101,108
Vanuatu,33,59,1.8,77,95,1.2,40,16,2.4,,,,75,80,1.1,9,23,2.7,,,,,106
Venezuela (Bolivarian Republic of),,,,99,93,0.9,,,,,,,86,99,1.2,,,,,,,100,112
Viet Nam,91,98,1.1,73,100,1.4,41,6,6.7,,,,94,98,1.0,30,65,2.2,,,,104,113
Yemen,17,56,3.3,19,81,4.2,59,26,2.3,27,21,0.8,56,90,1.6,0,4,,,,,93,105
Zambia,5,29,6.0,45,94,2.1,47,28,1.7,59,68,1.1,75,97,1.3,24,48,2.0,24,51,2.1,94,108
Zimbabwe,24,79,3.3,62,96,1.6,33,17,2.0,30,44,1.5,91,100,1.1,47,65,1.4,43,67,1.6,104,106
