Countries and areas,Birth registration (%) Urban,Birth registration (%) Rural,Birth registration (%) Ratio of urban to rural,Skilled birth attendant (%) Urban,Skilled birth attendant (%)  Rural,Skilled birth attendant (%) Ratio of urban to rural,Stunting prevalence in children under 5 (moderate & severe) Urban,Stunting prevalence in children under 5 (moderate & severe) Rural,Stunting prevalence in children under 5 (moderate & severe) Ratio of rural to urban,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Urban,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Rural,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Ratio of urban to rural,Primary school net attendance ratio Urban,Primary school net attendance ratio Rural,Primary school net attendance ratio Ratio of urban to rural,"Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Urban","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Rural","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Ratio of urban to rural",Use of basic sanitation services (%)  Urban,Use of basic sanitation services (%)  Rural,Use of basic sanitation services (%) Ratio of urban to rural,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Peru,98,96,1.0,98,75,1.3,9,28,3.0,37,22,1.7,92,92,1.0,27,8,3.3,82,58,1.4,103,107
Philippines,,,,83,64,1.3,28,38,1.3,54,45,1.2,90,87,1.0,23,17,1.4,79,72,1.1,,110
Poland,,,,,,,,,,,,,,,,,,,98,98,1.0,100,111
Portugal,,,,,,,,,,,,,,,,,,,99,100,1.0,,108
Qatar,,,,,,,,,,,,,,,,,,,,,,97,103
Republic of Korea,,,,,,,,,,,,,,,,,,,,,,100,108
Republic of Moldova,100,100,1.0,100,99,1.0,4,8,2.2,,,,98,99,1.0,41,32,1.3,89,70,1.3,100,113
Romania,,,,94,96,1.0,14,13,0.9,,,,,,,,,,93,68,1.4,100,110
Russian Federation,,,,,,,,,,,,,,,,,,,93,76,1.2,101,117
Rwanda,55,56,1.0,97,89,1.1,27,40,1.5,33,27,1.3,96,94,1.0,74,62,1.2,57,64,0.9,118,107
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,98,
Saint Lucia,91,92,1.0,,,,4,2,0.6,,,,99,100,1.0,57,63,0.9,86,92,0.9,100,107
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,106
Samoa,68,57,1.2,97,79,1.2,4,5,1.1,,,,89,88,1.0,5,2,2.4,98,96,1.0,97,109
San Marino,,,,,,,,,,,,,,,,,,,,,,103,
Sao Tome and Principe,96,93,1.0,95,88,1.1,16,19,1.2,46,57,0.8,94,94,1.0,43,40,1.1,47,28,1.7,,107
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,104
Senegal,87,58,1.5,70,44,1.6,14,24,1.7,32,31,1.0,72,43,1.7,,,,66,35,1.9,108,106
Serbia,100,99,1.0,98,99,1.0,7,5,0.8,50,22,2.3,100,98,1.0,63,41,1.5,98,91,1.1,97,108
Seychelles,,,,,,,,,,,,,,,,,,,,,,,113
Sierra Leone,80,76,1.1,79,53,1.5,30,40,1.4,86,85,1.0,88,71,1.2,38,22,1.7,24,8,2.8,101,102
Singapore,,,,,,,,,,,,,,,,,,,100,,,,105
Slovakia,,,,,,,,,,,,,,,,,,,99,98,1.0,101,110
Slovenia,,,,,,,,,,,,,,,,,,,99,99,1.0,100,107
Solomon Islands,89,88,1.0,96,84,1.1,27,32,1.2,45,35,1.3,,,,34,28,1.2,76,18,4.1,114,104
Somalia,6,2,3.7,21,3,7.4,32,48,1.5,25,9,3.0,39,11,3.4,7,2,4.1,28,8,3.5,,106
South Africa,,,,98,95,1.0,26,29,1.1,53,49,1.1,,,,,,,76,69,1.1,,112
South Sudan,45,32,1.4,31,15,2.0,29,32,1.1,44,37,1.2,40,19,2.1,16,7,2.3,28,6,4.3,,104
Spain,,,,,,,,,,,,,,,,,,,100,100,1.0,100,107
Sri Lanka,97,98,1.0,99,99,1.0,,,,,,,,,,,,,89,95,0.9,100,109
State of Palestine,99,100,1.0,100,100,1.0,8,8,1.0,30,34,0.9,99,99,1.0,8,6,1.3,95,99,1.0,105,105
Sudan,89,59,1.5,93,72,1.3,27,43,1.6,25,18,1.4,86,61,1.4,12,7,1.9,58,23,2.5,99,105
Suriname,100,98,1.0,93,84,1.1,7,12,1.8,33,55,0.6,97,94,1.0,45,33,1.4,88,61,1.4,115,109
Swaziland,64,51,1.3,93,86,1.1,19,27,1.4,64,90,0.7,98,98,1.0,56,47,1.2,58,58,1.0,107,112
Sweden,,,,,,,,,,,,,,,,,,,99,100,1.0,100,104
Switzerland,,,,,,,,,,,,,,,,,,,100,100,1.0,,105
Syrian Arab Republic,97,95,1.0,99,93,1.1,28,28,1.0,56,44,1.3,98,96,1.0,7,7,1.0,96,89,1.1,101,120
Tajikistan,88,89,1.0,93,86,1.1,22,28,1.3,58,61,0.9,87,85,1.0,11,8,1.4,94,96,1.0,101,109
Thailand,99,100,1.0,99,100,1.0,10,11,1.1,68,75,0.9,95,95,1.0,55,56,1.0,94,96,1.0,,111
The former Yugoslav Republic of Macedonia,100,100,1.0,94,88,1.1,4,6,1.4,19,30,0.6,98,98,1.0,33,18,1.8,97,83,1.2,99,105
Timor-Leste,50,57,0.9,59,20,2.9,39,55,1.4,65,74,0.9,80,70,1.1,14,12,1.2,73,30,2.4,103,105
Togo,95,69,1.4,82,24,3.4,16,33,2.1,18,19,0.9,96,85,1.1,28,19,1.5,28,5,6.2,96,103
Tokelau,,,,,,,,,,,,,,,,,,,,93,0.0,,
